Reference, Value, Footprint, Datasheet
CN1,EDGE,HERMESLITE:EDGE,
T2,8:1,HERMESLITE:TRANSF,
T3,4:1,HERMESLITE:TRANSF,
C2,0.1 uF,HERMESLITE:C_0805,
R4,0,HERMESLITE:R_0805,
C3,0.1 uF,HERMESLITE:C_0805,
FB1,FB,SMD_Packages:SMD-1206,
CN2,BREAKOUT,Pin_Headers:Pin_Header_Straight_1x12,
C15,0.01uF,HERMESLITE:C_0805,
R6,10k,HERMESLITE:R_0805,
P1,BNC,HERMESLITE:BNCRA,
T1,TRANSFO,Socket_Strips:Socket_Strip_Straight_2x02,
L5,INDUCTOR,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C8,C,HERMESLITE:C_0805,
L6,INDUCTOR,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C9,C,HERMESLITE:C_0805,
L7,INDUCTOR,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C10,C,HERMESLITE:C_0805,
L8,INDUCTOR,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C11,C,HERMESLITE:C_0805,
L4,INDUCTOR,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C4,C,HERMESLITE:C_0805,
L1,INDUCTOR,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C5,C,HERMESLITE:C_0805,
L2,INDUCTOR,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C6,C,HERMESLITE:C_0805,
L3,INDUCTOR,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C7,C,HERMESLITE:C_0805,
R2,1k,HERMESLITE:R_0805,
C1,0.1uF,HERMESLITE:C_0805,
P3,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
P2,CONN_02X01,Pin_Headers:Pin_Header_Straight_2x01,
C14,47uF 16V,Discret:C1V8,
C13,0.1uF,HERMESLITE:C_0805,
U1,LP2951-50D,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
C17,0.1uF,HERMESLITE:C_0805,
R8,10k,HERMESLITE:R_0805,
R5,6.8,HERMESLITE:R_0805,
C16,0.01uF,HERMESLITE:C_0805,
R7,270,HERMESLITE:R_0805,
Q3,RD16HHF1,Transistors_TO-220:TO-220_Neutral123_Vertical,
C12,0.01uF,HERMESLITE:C_0805,
VR1,1k MT,Potentiometers:Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp,
T4,OUT_TRANSF,HERMESLITE:OUT_TRANSF,
C18,120pF,HERMESLITE:C_0805,
L10,FT37-43 11T #26,Choke_Axial_ThroughHole:Choke_Horizontal_RM10mm,
C19,0.01uF,HERMESLITE:C_0805,
C20,0.1uF,HERMESLITE:C_0805,
C21,4700pF,HERMESLITE:C_0805,
C22,10uF 16V,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow,
L9,192nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
L11,192nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C23,120pF,HERMESLITE:C_0805,
C24,82pF,HERMESLITE:C_0805,
K1,D3002,HERMESLITE:D3002,
R1,4.99k,HERMESLITE:R_0805,
Q1,NPN,Transistors_SMD:sot23,
K2,D3002,HERMESLITE:D3002,
Q2,PNP,Transistors_SMD:sot23,
R11,0,HERMESLITE:R_0805,
R12,DNI,HERMESLITE:R_0805,
R10,DNI,HERMESLITE:R_0805,
C28,0.01uF,HERMESLITE:C_0805,
C25,0.01uF,HERMESLITE:C_0805,
C26,0.01uF,HERMESLITE:C_0805,
C27,0.01uF,HERMESLITE:C_0805,
