Reference, Value, Footprint, Datasheet
T1,TRANSFO,Socket_Strips:Socket_Strip_Straight_2x02,
P2,CONN_02X01,Pin_Headers:Pin_Header_Straight_1x02,
C2,47uF 16V,Capacitors_Tantalum_SMD:TantalC_SizeD_EIA-7343_Reflow,
C1,0.1uF,HERMESLITE:C_0805,
P1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
C6,0.1uF,HERMESLITE:C_0805,
R10,270,HERMESLITE:R_0805,
C3,0.1uF,HERMESLITE:C_0805,
R6,10k,HERMESLITE:R_0805,
C4,0.1uF,HERMESLITE:C_0805,
VR1,1k MT,Potentiometers:Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp,
C9,1uF,HERMESLITE:C_0805,
C8,0.1uF,HERMESLITE:C_0805,
C7,0.1uF,HERMESLITE:C_0805,
C5,0.1uF,HERMESLITE:C_0805,
K1,D3002,HERMESLITE:D3002,
L1,FT37-43 11T #26,Choke_Axial_ThroughHole:Choke_Horizontal_RM10mm,
Q3,RD16HHF1,Transistors_TO-220:TO-220_Neutral123_Vertical_LargePads,
P5,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
C10,10uF 16V,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_Reflow,
R5,6.8,HERMESLITE:R_0805,
L2,192nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
L3,192nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C12,120pF,HERMESLITE:C_0805,
C13,120pF,HERMESLITE:C_0805,
C14,82pF,HERMESLITE:C_0805,
P4,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
C11,4700pF,HERMESLITE:C_0805,
U7,LP2951-50D,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
T2,OUT_TRANSF,HERMESLITE:OUT_TRANSF,
CN1,BREAKOUT,HERMESLITE:BREAKOUT,
Q1,2N7000,SMD_Packages:SOT-23-GDS,
U1,4050,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,
C35,220pF,HERMESLITE:C_0805,
L12,2.92uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C37,3300pF,HERMESLITE:C_0805,
C25,150pF,HERMESLITE:C_0805,
L8,1.02uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C31,560pF,HERMESLITE:C_0805,
C36,150pF,HERMESLITE:C_0805,
L13,1.02uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C41,150pF,HERMESLITE:C_0805,
K2,D3002,HERMESLITE:D3002,
K3,D3002,HERMESLITE:D3002,
K4,D3002,HERMESLITE:D3002,
K5,D3002,HERMESLITE:D3002,
K6,D3002,HERMESLITE:D3002,
C30,3300pF,HERMESLITE:C_0805,
C24,150pF,HERMESLITE:C_0805,
L7,1.44uH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C26,1800pF,HERMESLITE:C_0805,
C20,1800pF,HERMESLITE:C_0805,
C18,150pF,HERMESLITE:C_0805,
L6,430nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C29,1000pF,HERMESLITE:C_0805,
L11,430nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C40,470pF,HERMESLITE:C_0805,
C17,470pF,HERMESLITE:C_0805,
L5,300nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C28,560pF,HERMESLITE:C_0805,
L10,300nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C39,150pF,HERMESLITE:C_0805,
C16,150pF,HERMESLITE:C_0805,
L4,240nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C27,270pF,HERMESLITE:C_0805,
L9,240nH,Choke_Toroid_ThroughHole:Choke_Toroid_6,5x13mm_Vertical,
C38,150pF,HERMESLITE:C_0805,
C15,150pF,HERMESLITE:C_0805,
C19,150pF,HERMESLITE:C_0805,
C42,150pF,HERMESLITE:C_0805,
C23,DNI,HERMESLITE:C_0805,
C34,DNI,HERMESLITE:C_0805,
C22,DNI,HERMESLITE:C_0805,
C33,DNI,HERMESLITE:C_0805,
C21,DNI,HERMESLITE:C_0805,
C32,DNI,HERMESLITE:C_0805,
C80,150pF,HERMESLITE:C_0805,
C81,150pF,HERMESLITE:C_0805,
C82,0.1uF,HERMESLITE:C_0805,
K7,D3002,HERMESLITE:D3002,
U2,74LS145,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,
C43,0.1uF,HERMESLITE:C_0805,
C77,0.1uF,HERMESLITE:C_0805,
L14,4700nH,HERMESLITE:Choke_SMD_1206_Standard,
L38,4700nH,HERMESLITE:Choke_SMD_1206_Standard,
R20,270 1W,Resistors_ThroughHole:Resistor_Vertical_RM5mm,
R21,270 1W,Resistors_ThroughHole:Resistor_Vertical_RM5mm,
C49,100pF,HERMESLITE:C_0805,
C54,39pF,HERMESLITE:C_0805,
C60,390pF,HERMESLITE:C_0805,
C65,39pF,HERMESLITE:C_0805,
C73,150pF,HERMESLITE:C_0805,
L15,270nH,HERMESLITE:Choke_SMD_1206_Standard,
L25,100nH,HERMESLITE:Choke_SMD_1206_Standard,
L20,1uH,HERMESLITE:Choke_SMD_1206_Standard,
L30,1uH,HERMESLITE:Choke_SMD_1206_Standard,
L34,270nH,HERMESLITE:Choke_SMD_1206_Standard,
D6,DIODE,Diodes_SMD:Diode-SMA_Standard,
D12,DIODE,Diodes_SMD:Diode-SMA_Standard,
C44,0.01uF,HERMESLITE:C_0805,
C69,0.01uF,HERMESLITE:C_0805,
C51,560pF,HERMESLITE:C_0805,
C56,150pF,HERMESLITE:C_0805,
C62,1200pF,HERMESLITE:C_0805,
C67,150pF,HERMESLITE:C_0805,
C75,560pF,HERMESLITE:C_0805,
L17,680nH,HERMESLITE:Choke_SMD_1206_Standard,
L27,330nH,HERMESLITE:Choke_SMD_1206_Standard,
L22,2.7uH,HERMESLITE:Choke_SMD_1206_Standard,
L32,2.7uH,HERMESLITE:Choke_SMD_1206_Standard,
L36,680nH,HERMESLITE:Choke_SMD_1206_Standard,
D8,DIODE,Diodes_SMD:Diode-SMA_Standard,
D14,DIODE,Diodes_SMD:Diode-SMA_Standard,
C46,0.01uF,HERMESLITE:C_0805,
C71,0.01uF,HERMESLITE:C_0805,
C50,270pF,HERMESLITE:C_0805,
C55,56pF,HERMESLITE:C_0805,
C61,680pF,HERMESLITE:C_0805,
C66,56pF,HERMESLITE:C_0805,
C74,270pF,HERMESLITE:C_0805,
L16,390nH,HERMESLITE:Choke_SMD_1206_Standard,
L26,150nH,HERMESLITE:Choke_SMD_1206_Standard,
L21,1.8uH,HERMESLITE:Choke_SMD_1206_Standard,
L31,1.8uH,HERMESLITE:Choke_SMD_1206_Standard,
L35,390nH,HERMESLITE:Choke_SMD_1206_Standard,
D7,DIODE,Diodes_SMD:Diode-SMA_Standard,
D13,DIODE,Diodes_SMD:Diode-SMA_Standard,
C45,0.01uF,HERMESLITE:C_0805,
C70,0.01uF,HERMESLITE:C_0805,
C52,1000pF,HERMESLITE:C_0805,
C57,150pF,HERMESLITE:C_0805,
C63,2200pF,HERMESLITE:C_0805,
C68,150pF,HERMESLITE:C_0805,
C76,1000pF,HERMESLITE:C_0805,
L18,1.5uH,HERMESLITE:Choke_SMD_1206_Standard,
L28,680nH,HERMESLITE:Choke_SMD_1206_Standard,
L33,4.7uH,HERMESLITE:Choke_SMD_1206_Standard,
L37,1.5uH,HERMESLITE:Choke_SMD_1206_Standard,
D9,DIODE,Diodes_SMD:Diode-SMA_Standard,
D15,DIODE,Diodes_SMD:Diode-SMA_Standard,
C47,0.01uF,HERMESLITE:C_0805,
C72,0.01uF,HERMESLITE:C_0805,
C53,1000pF,HERMESLITE:C_0805,
C58,300pF,HERMESLITE:C_0805,
C64,1000pF,HERMESLITE:C_0805,
L19,1.5uH,HERMESLITE:Choke_SMD_1206_Standard,
L24,4.7uH,HERMESLITE:Choke_SMD_1206_Standard,
L29,1.5uH,HERMESLITE:Choke_SMD_1206_Standard,
D10,DIODE,Diodes_SMD:Diode-SMA_Standard,
D11,DIODE,Diodes_SMD:Diode-SMA_Standard,
C48,0.01uF,HERMESLITE:C_0805,
C59,0.01uF,HERMESLITE:C_0805,
R15,1k,HERMESLITE:R_0805,
R16,1k,HERMESLITE:R_0805,
R17,1k,HERMESLITE:R_0805,
R18,1k,HERMESLITE:R_0805,
R19,1k,HERMESLITE:R_0805,
L23,4.7uH,HERMESLITE:Choke_SMD_1206_Standard,
C78,150pF,HERMESLITE:C_0805,
